"I feel inspired today... I think I'll do some writing."	"我今天感覺有靈感……我想我會寫點東西。"	"Rainy_Day_0"
"I've had this recurring nightmare that you gave me a buzz cut... You wouldn't ever do that to me, would you?"	"我又做了惡夢，夢到你給我剃了平頭……你不會再給我剃了，對吧？"	"Indoor_Day_4"
"I trust you."	"我相信你。"	"Indoor_Day_4"
"From the brightest winter star, to the shimmer of an iridium vein... nothing can compare to my wonderful man."	"從最閃亮的冬日之星到銥礦的微光，都比不上我的好人兒。"	"Indoor_Night_0"
"From the brightest winter star, to the fragrant fairy rose... nothing can compare with your captivating beauty."	"從最閃亮的冬日之星到銥礦的微光，都不比不上你迷人的美。"	"Indoor_Night_0"
"A crackling fire adds wonderful ambience to the house... every piece of wood burns in a unique way."	"劈啪的火焰給屋子增添了很棒的氣氛……每塊木材燃燒的方式都很獨特。"	"Indoor_Night_1"
"I never had much success growing plant in my old beach house. Hopefully I can pick up a thing or two by watching you."	"我在海邊的老房子裡沒什麼成功的種植經驗。希望我能跟著你學會一些技巧。"	"Indoor_Night_2"
"In this respect, you are the master and I only a humble apprentice."	"在這方面，你是大師，而我是謙卑的學徒。"	"Indoor_Night_2"
"When I behold thy wondrous face, a precious jewel of form and grace, my heart... torn by the dread of night, is purified with golden light."	"當我注視你美妙的臉龐，金色的光淨化了我那顆被恐怖的黑夜撕裂的心。"	"Indoor_Night_3"
"Poetry is the only way I can begin to describe my feelings for you."	"只有詩才能描述我對你的感覺。"	"Indoor_Night_3"
"My love... I wouldn't trade you for 100 iridium bars."	"吾愛……我不會拿 100 塊銥錠換取你。"	"Indoor_Night_4"
"Nor 1000..."	"也不會是 1,000 塊……"	"Indoor_Night_4"
"Not even 10,000 bars, no."	"甚至 10,000 塊也不行"	"Indoor_Night_4"
"..."	"……"	"Indoor_Night_4"
"No, not even 100,000 bars!"	"100,000 塊也不行！"	"Indoor_Night_4"
"..."	"……"	"Indoor_Night_4"
"Wa... one million bars of pure iridium...? Don't make me do this..."	"那……一百萬塊純銥……？別讓我這麼做……"	"Indoor_Night_4"
"My wildest dreams have come true... just look at this incredible landscape!"	"我最大的夢想實現了……看看這令人嘆為觀止的景色！"	"Outdoor_0"
"Fertile soil beneath my feet, fresh air to fill my lungs, and the sun's warmth to delight my skin... Life is going well."	"肥沃的土地在我腳下，新鮮的空氣充入我的肺裡，溫暖的太陽讓我渾身舒坦……生活一切順利。"	"Outdoor_1"
"I might stay here and write some poetry. I'm feeling a sudden surge of creativity! You go on ahead and take care of business."	"我可能會待在這裡，寫一些詩。我感覺靈感突然湧來。你繼續，看好生意。"	"Outdoor_2"
"If I stay perfectly still, perhaps a resplendent butterfly will bless my nose with a landing."	"如果我完全待著不動，可能會有美麗的蝴蝶待在我的鼻子上不動。"	"Outdoor_3"
"I drank too much coffee... my mouth feels about as dry as the Calico Desert."	"我喝太多咖啡了……我嘴巴乾得像卡利科沙漠一樣。"	"Outdoor_4"
"Oh... sorry about the coffee breath."	"噢……抱歉，我的嘴裡都是咖啡味。"	"Outdoor_4"
"Have you had any time to entertain little %kid1 today? Maybe a second child will make things easier for both of us."	"你今天有花一點兒時間照顧小%kid1玩耍嗎？可能生兩個孩子會讓我們更輕鬆些。"	"OneKid_0"
"Little %kid1 is going to have the perfect childhood here. There's so much to explore."	"小%kid1將在這裡度過快樂的童年。有好多可以探索的地方。"	"OneKid_1"
"Caring for babies isn't exactly my strong suit... but I'll do my best to be a good father."	"照顧孩子不是我的強項……但我會盡我最大的努力做個好爸爸。"	"OneKid_3"
"I already gave %kid1 and %kid2 their food. They eat a lot for such small creatures!"	"我已經給%kid1和%kid2餵過飯了。小東西們吃了很多！"	"TwoKids_0"
"I was carrying %kid1 earlier, and I could've sworn I heard a ""Da...da""."	"我之前帶過%kid1，我發誓我聽到了「爸……爸」的聲音。"	"TwoKids_1"
"I'm going to teach %kid1 to read as soon as possible! That's a great way for children to learn about the world."	"我要儘快教%kid1看書！這是小孩瞭解這個世界的好方法。"	"TwoKids_2"
"We've done well, @. The farm is doing excellent and our healthy children are a great joy. I couldn't be happier."	"我們做得很好，@。農場經營得十分順利，而我們健康的孩子也帶來了巨大的喜悅。我好開心啊。"	"TwoKids_3"
"@... I'm so proud of all your hard work. I'm very lucky to have you."	"@……我對你的一切努力感到驕傲。有你我真幸運。"	"Good_0"
"I made a whole secret book of poems expressing my love for you."	"我為你寫了一本秘密的詩集，來表達我對你的愛意。"	"Good_1"
"I came to the valley to find the ivory tower from which my talents could reign supreme. But what I really found was a dungeon of loneliness. You saved me from that."	"我來到星露谷本是為了尋找能發揮我特長的象牙塔。但我卻找到了孤獨之牢。是你從中拯救了我。"	"Good_2"
"Wow, you look really handsome today! Did you shave? Your jawline is perfect."	"哇哦，你今天看起來帥呆了！你刮鬍子了嗎？你的下巴輪廓堪稱完美。"	"Good_3"
"Your feminine allure is irresistible today. I can't keep my eyes off you."	"今天你散發的女性魅力簡直讓人無法抵抗。我無法將視線從你身上移開。"	"Good_3"
"I feel burnt out in your absence. But when I hear that sound of muddy boots on wood, my heart rises from the ash."	"你不在的時候我百爪撓心。但是當我聽到森林裡泥地上靴子行走的聲音，我的心又死灰復燃了。"	"Good_4"
"I'm doing a walking meditation. It's good for creativity."	"我正在冥想。這對激發創造力有幫助。"	"Good_5"
"Be careful out there! I do worry about you sometimes. There are people in the world who would take advantage of you."	"出去要小心啊！有時候真是擔心你啊！世界上總會有想佔你便宜的人。"	"Good_6"
"I think I'll walk down to the beach today. It's always nice to see the ocean again."	"我想我今天會去海邊。我總是很高興再次看到大海。"	"funLeave_Elliott"
"I had a nice time at the beach by myself. I watched the waves come and go, just like old times."	"我今天一個人在海邊過得很愉快。我看潮起潮落，就像過去一樣。"	"funReturn_Elliott"
"My new year's resolution is to write, write, and write! I can never stop improving my skills."	"我新年的決心是寫作、寫作、再寫作！我不能停止提升我的寫作技巧。"	"spring_1"
"It's strange, but I often have cravings for pomegranate in the spring."	"這很奇怪，但是我春天經常渴望吃石榴。"	"spring_12"
"I look forward to dancing with you tomorrow, my dear."	"親愛的，我期待明天和你共舞。"	"spring_23"
"It's hard to be in a foul mood when the sun is beaming and the butterflies are dancing on a spice-berry breeze."	"當陽光普照，蝴蝶在充滿漿果香味的微風中飛舞時，想情緒低落也難。"	"summer_1"
"I was going to grab an extra bottle of ink from my cabin today, but then I remembered the Luau is tomorrow. I'll just do it then."	"今天我本來打算去我的屋子再拿一瓶墨水的，但是後來我想到明天就是夏威夷宴會。於是我決定到時候順路去。"	"summer_10"
"All good things must come to an end, including the joyful days of summer. The key to happiness is to accept change without judgement."	"所有美好的事情都會落幕，包括夏天幸福的日子。幸福的秘訣是接受改變，不去評判。"	"summer_27"
"The splendor of fall... a verdant banquet for all the senses to enjoy... has inspired some of the greatest poetry of all time."	"秋天的光輝……五官的盛宴……從古至今激發了無數偉大詩人的創作靈感。"	"fall_1"
"I might set my pride aside and sink my eager teeth into a sloppy, saucy barbecue sandwich tomorrow."	"明天我會放下我的驕傲，沉浸在鬆軟多汁的烤三明治中。"	"fall_15"
"Would you still love me if I guzzled two gallons of pumpkin ale at the Spirit's Eve festival? Sometimes a man has primitive urges..."	"如果我在萬靈節上豪飲好幾杯南瓜艾爾啤酒，你還會愛我嗎？有時候男人就是會有這種簡單粗暴的欲望……"	"fall_26"
"Winter is a great time to read books and play the piano. Remember to pause and enjoy a quiet moment or two."	"冬天是看書和彈鋼琴的好時候。記得偶爾停下來享受安靜的時光。"	"winter_1"
"I'm a little out of practice, but I plan on entering the fishing contest tomorrow! You've got some stiff competition, dear."	"我有點生疏了，但是我計畫參加明天的釣魚大賽！親愛的，你有個強力的對手了。"	"winter_7"
"Happy new year's eve, my dear. Please accept this to celebrate. [348]"	"親愛的，除夕快樂。請收下這份慶祝禮物。[348]"	"winter_28"
